姓名,出生地,毕业院校,当选年份
胡亚美,北京,北京大学,1994
何德全,北京市,北京大学,1994
李大东,北京市,北京大学,1994
吴德昌,江苏武进,北京大学,1994
金国藩,辽宁省沈阳市,北京大学,1994
王忠诚,山东省烟台,北京大学,1994
殷瑞钰,江苏省苏州市,北京钢铁工业学院,1994
殷瑞钰,江苏省苏州市,北京钢铁工业学院,1994
王涛,山东省胶县,北京林学院,1994
汪成为,上海市,北京师范大学,1994
王德民,河北省唐山市,北京石油学院,1994
刘玉清,天津市,北京协和医学院,1994
姜泗长,天津市,北平大学,1994
宋鸿钊,江苏省苏州市,北平市协和医学院,1994
段镇基,四川省成都市,成都工学院,1994
丁德文,辽宁省辽阳市,大连理工大学,1994
李德仁,江苏省泰州市,德国斯图加特大学,1994
胡之璧,江苏省南京市,德国图平根大学,1994
周廉,吉林省舒兰县,东北工学院,1994
曾溢滔,广东省佛山市,复旦大学,1994
钱学森,上海市,国立交通大学,1994
黎鳌,湖南省浏阳县,国立上海医学院,1994
黎磊石,湖南长沙,国立中正医学院,1994
王光远,河南省温县,哈尔滨工业大学,1994
刘天泉,江西省萍乡县,湖南大学,1994
刘耕陶,湖南省双峰县,湖南医学院,1994
郭孔辉,福建省福州市,吉林工业大学,1994
谢友柏,上海市,交通大学,1994
卢良恕,上海,金陵大学,1994
王越,江苏省丹阳市,军事电信工程学院,1994
陈力为,山西省洪洞县,昆明西南联合大学,1994
周镜,江西省南昌市,美国俄亥俄州大学,1994
关桥,山西省太原市,莫斯科包曼高等工学院,1994
宋健,山东省荣成市,莫斯科大学,1994
王永志,辽宁昌图县,莫斯科航空学院,1994
彭士禄,广东省海丰县,莫斯科化工机械学院,1994
闵桂荣,福建省莆田县,南京工学院,1994
倪光南,浙江省宁波市,南京工学院,1994
李鸿志,北京市,炮兵工程学院,1994
邹竞,上海市,前苏联列宁格勒电影工程学院,1994
丁衡高,江苏省南京市,前苏联列宁格勒精密机械光学学院,1994
王明庥,湖北省枝江市,前苏联莫斯科森林工程学院,1994
周干峙,江苏苏州,清华大学,1994
傅熹年,北京,清华大学,1994
黄培云,北京市,清华大学,1994
管德,北京市,清华大学,1994
钱易,北京市,清华大学,1994
马福邦,广东省顺德市,清华大学,1994
梁应辰,河北省保定市,清华大学,1994
刘永坦,湖北省武汉市,清华大学,1994
常印佛,江苏省泰兴市,清华大学,1994
刘鸿亮,辽宁省大连市,清华大学,1994
张锦秋,四川省成都市,清华大学,1994
金怡濂,天津市,清华大学,1994
王大珩,我国光学事业奠基,清华大学,1994
巴德年,吉林省四平市,日本北海道大学,1994
巴德年,吉林省四平市,日本北海道大学,1994
许文思,台湾省高雄县,日本北海道帝国大学,1994
肖培根,上海市,厦门大学,1994
屠善澄,浙江省嘉兴市,上海大同大学,1994
汤钊猷,广东省新会县,上海第一医学院,1994
顾健人,江苏省苏州市,上海第一医学院,1994
顾玉东,山东省章丘县,上海第一医学院,1994
