毕业院校,当选年份,test
北京大学,1948,1
北京大学,1948,2
北京大学,1948,3
东京第一高等学校,1948,4
东南大学,1948,5
复旦大学,1948,6
湖南湘雅医学院,1948,7
江南高等学校,1948,8
金陵大学,1948,9
京师大学,1948,10
美国伊利诺大学,1948,11
美国芝加哥大学,1948,12
美国芝加哥大学,1948,13
南京高等师范学校,1948,14
南京高等师范学校,1948,15
南京高等师范学校,1948,16
南京高等师范学校,1948,17
南京高等师范学校,1948,18
南京金陵大学,1948,19
南开大学,1948,20
农商部地质研究所,1948,21
清华大学,1948,22
清华大学,1948,23
清华大学,1948,24
清华大学,1948,25
清华大学,1948,26
清华大学,1948,27
清华大学,1948,28
清华学堂,1948,29
清华学校,1948,30
清华学校,1948,31
清华学校,1948,32
日本大阪工业高等学校(现大阪大学),1948,33
日本东北帝国大学,1948,34
上海同济医工专门学校,1948,35
唐山工业专门学校,1948,36
唐山路矿学堂(现西南交通大学),1948,37
北京大学,1955,38
北京大学,1955,39
北京大学,1955,40
北京大学,1955,41
北京大学,1955,42
北京大学,1955,43
北京大学,1955,44
北京大学,1955,45
北京大学,1955,46
北京大学,1955,47
北京大学,1955,48
北京大学,1955,49
北京大学,1955,50
北京大学,1955,51
北京大学,1955,52
北京大学,1955,53
北京农业大学,1955,54
北京协和医学院,1955,55
北京协和医学院,1955,56
北京协和医学院,1955,57
北平大学,1955,58
北洋大学,1955,59
北洋大学,1955,60
成都华西协和大学,1955,61
东华大学,1955,62
东京帝国大学,1955,63
东南大学,1955,64
东南大学,1955,65
东南大学,1955,66
东南大学,1955,67
东吴大学,1955,68
东吴大学,1955,69
法国蒙伯利埃大学,1955,70
法国南锡大学,1955,71
复旦大学,1955,72
光华大学,1955,73
广东高等师范学校,1955,74
河北省保定甲种农校,1955,75
湖南大学,1955,76
金陵大学,1955,77
金陵大学,1955,78
金陵大学,1955,79
美国宾夕法尼亚大学,1955,80
美国哈佛大学,1955,81
美国普渡大学,1955,82
美国芝加哥大学,1955,83
南京高等师范学校,1955,84
南京高等师范学校,1955,85
南京高等师范学校,1955,86
南京高等师范学校,1955,87
南京河海工程专门学校,1955,88
南京江苏第一农校,1955,89
南京金陵大学,1955,90
南京金陵大学,1955,91
南开大学,1955,92
清华大学,1955,93
清华大学,1955,94
清华大学,1955,95
清华大学,1955,96
清华大学,1955,97
清华大学,1955,98
清华大学,1955,99
清华大学,1955,100
清华大学,1955,101
清华大学,1955,102
清华大学,1955,103
清华大学,1955,104
清华大学,1955,105
清华大学,1955,106
清华大学,1955,107
清华大学,1955,108
清华大学,1955,109
清华大学,1955,110
清华大学,1955,111
清华大学,1955,112
清华学堂,1955,113
清华学校,1955,114
清华学校,1955,115
清华学校,1955,116
清华学校,1955,117
清华学校,1955,118
日本东京高等工业学校,1955,119
日本东京高等工业学校建筑科。南京工学院,1955,120
日本鹿儿岛高等农林学校,1955,121
上海大同大学,1955,122
上海大同大学,1955,123
上海大同大学,1955,124
复旦大学,1955,125
上海国立中法上学院,1955,126
上海沪江大学,1955,127
上海沪江大学,1955,128
上海交通大学,1955,129
上海交通大学,1955,130
上海交通大学,1955,131
上海交通大学,1955,132
上海交通大学,1955,133
同济大学,1955,134
上海医学院,1955,135
上海恽铁樵函授中医学校,1955,136
天津北洋大学,1955,137
同济大学,1955,138
同济大学,1955,139
王泽中西医学函授班,1955,140
武汉大学,1955,141
西北农学院,1955,142
西南联合大学,1955,143
香港大学,1955,144
协和医学院,1955,145
燕京大学,1955,146
燕京大学,1955,147
燕京大学,1955,148
燕京大学,1955,149
燕京大学,1955,150
燕京大学,1955,151
燕京大学,1955,152
英国曼彻斯特大学,1955,153
英国纽加索大学,1955,154
原辽宁医学院,1955,155
浙江大学,1955,156
浙江医药专科学校(现浙江大学医学院),1955,157
中山大学,1955,158
中山大学,1955,159
中山大学,1955,160
中央大学,1955,161
中央大学,1955,162
,1955,163
清华大学,1956,164
北京大学,1957,165
北京大学,1957,166
北京大学,1957,167
北京师范大学,1957,168
荷兰莱登大学,1957,169
交通大学,1957,170
美国西南大学,1957,171
农商部地质研究所,1957,172
清华大学,1957,173
清华大学,1957,174
山东济南齐鲁大学,1957,175
唐山交通大学,1957,176
西南联合大学,1957,177
湘雅医学院,1957,178
燕京大学,1957,179
燕京大学,1957,180
中央大学,1957,181
北京大学,1980,182
北京大学,1980,183
北京大学,1980,184
北京大学,1980,185
北京大学,1980,186
北京大学,1980,187
北京大学,1980,188
北京大学,1980,189
北京大学,1980,190
北京大学,1980,191
北京大学,1980,192
北京大学,1980,193
北京大学,1980,194
北京大学,1980,195
北京大学,1980,196
北京大学,1980,197
北京大学,1980,198
北京大学,1980,199
北京大学,1980,200
北京大学,1980,201
北京大学,1980,202
北京大学,1980,203
北京大学,1980,204
北京大学,1980,205
北京大学,1980,206
北京大学,1980,207
北京大学,1980,208
北京大学,1980,209
北京师范大学,1980,210
北京师范大学,1980,211
北京中法大学,1980,212
北平大学,1980,213
北平大学,1980,214
北洋大学,1980,215
北洋大学,1980,216
北洋工学院,1980,217
北洋工学院,1980,218
成都金陵大学,1980,219
东南大学,1980,220
东吴大学,1980,221
东吴大学,1980,222
东吴大学,1980,223
福建协和大学,1980,224
福建协和大学,1980,225
福建协和大学,1980,226
辅仁大学,1980,227
辅仁大学,1980,228
广西大学,1980,229
广州中山大学,1980,230
国立交通大学,1980,231
哈尔滨工业大学,1980,232
湖南大学,1980,233
沪江大学,1980,234
沪江大学,1980,235
交通大学,1980,236
交通大学,1980,237
交通大学,1980,238
交通大学,1980,239
交通大学,1980,240
交通大学,1980,241
交通大学,1980,242
金陵大学,1980,243
金陵大学,1980,244
金陵大学,1980,245
金陵大学,1980,246
昆明西南联合大学,1980,247
昆明西南联合大学,1980,248
昆明西南联合大学,1980,249
马尾海军学校,1980,250
美国华盛顿州立大学,1980,251
南京大学,1980,252
南京大学,1980,253
南京大学,1980,254
南京工学院,1980,255
南京中央大学,1980,256
清华大学,1980,257
清华大学,1980,258
清华大学,1980,259
清华大学,1980,260
清华大学,1980,261
清华大学,1980,262
清华大学,1980,263
清华大学,1980,264
清华大学,1980,265
清华大学,1980,266
清华大学,1980,267
清华大学,1980,268
清华大学,1980,269
清华大学,1980,270
清华大学,1980,271
清华大学,1980,272
清华大学,1980,273
