当选年份,毕业院校,姓名,出生地
1994,上海交通大学,7,7
1995,上海光华大学,1,1
1996,上海华东纺织工学院,1,1
1997,上海圣约翰大学,2,2
1999,上海大同大学,1,1
2001,上海第一医学院,3,3
2003,上海震旦大学,1,1
2005,东北工学院,1,1
2007,中南矿冶学院,1,1
2009,中国医科大学,2,2
2011,中国科学技术大学,1,1
2013,中央军委技术干部学校,1,1
2015,中央大学,5,5
2017,交通大学,3,3
2019,俄罗斯经济大学,1,1
2021,军事电信工程学院,1,1
,列宁格勒建筑工程学院,1,1
,前苏联列宁格勒电影工程学院,1,1
,前苏联列宁格勒精密机械光学学院,1,1
,前苏联莫斯科森林工程学院,1,1
,北京农业大学,1,1
,北京协和医学院,1,1
,北京大学,8,8
,北京师范大学,1,1
,北京林学院,1,1
,北京石油学院,1,1
,北京钢铁工业学院,2,2
,北平大学,1,1
,北平市协和医学院,1,1
,南京工学院,3,3
,原北京工业学院,1,1
,原南京中央大学,1,1
,原苏联列宁格勒铁道学院,1,1
,原苏联莫斯科化工机械学院,1,1
,原苏联莫斯科矿业学院,1,1
,厦门大学,1,1
,吉林工业大学,1,1
,同济大学,2,2
,哈尔滨工业大学,1,1
,唐山交通大学,1,1
,国立上海医学院,1,1
,国立中正医学院,1,1
,国立交通大学,1,1
,国立西北工学院,1,1
,复旦大学,1,1
,大连理工大学,1,1
,天津大学,1,1
,德国图平根大学,1,1
,德国斯图加特大学,1,1
,成都工学院,1,1
,日本北海道大学,2,2
,日本北海道帝国大学,1,1
,昆明西南联合大学,1,1
,武汉大学,1,1
,武汉测绘学院,1,1
,沈阳药科大学,1,1
,波兰科学院,1,1
,浙江大学,6,6
,浙江省立湘湖乡村师范学校,1,1
,清华大学,15,15
,湖南医学院,1,1
,湖南大学,1,1
,炮兵工程学院,1,1
,燕京大学,2,2
,美国俄亥俄州大学,1,1
,苏联列宁格勒电信工程学院,2,2
,苏联医学科学院,1,1
,苏联莫斯科古比雪夫军事工程学院,2,2
,苏联莫斯科电讯工程学院,1,1
,苏联莫斯科第一医学院,1,1
,莫斯科包曼高等工学院,1,1
,莫斯科化工机械学院,1,1
,莫斯科大学,1,1
,莫斯科航空学院,1,1
,西北工学院,1,1
,西南联合大学,1,1
,西安交通大学,1,1
,重庆国立中央大学,1,1
,金陵大学,1,1
,长春地质学院,2,2
,上海中华职业学校,1,1
,上海同济大学,13,13
,上海国立暨南大学,2,2
,上海沪江大学,1,1
,上海私立东吴大学,1,1
,上海雷士德工学院,1,1
,东北大学,1,1
,东北林学院,1,1
,中华工商专科学校。东华大学,1,1
,中国人民解放军军事工程学院,2,2
,中国人民解放军测绘学院,1,1
,中国科技大学,1,1
,中山大学,2,2
,克拉科夫矿冶学院,1,1
,内蒙古大学,1,1
,前国立中央大学,3,3
,前苏联列宁格勒林学院,1,1
,前苏联茹科夫斯基军事航空工程学院,1,1
,前苏联莫斯科动力学院,2,2
,前苏联莫斯科地质学院,5,5
,北京地质学院,1,1
,北京工业学院,1,1
,北京理工大学,1,1
,北京科技大学,1,1
,北京航空学院,1,1
,北京辅仁大学,1,1
,北京钢铁学院,1,1
,北平燕京大学,2,2
,北洋大学,1,1
,华东化工学院,11,11
,华东纺织工学院,1,1
,华中农业大学,1,1
,华南理工大学,1,1
,南京中央大学,2,2
,南京大学,4,4
,南京金陵大学,1,1
,南通学院,1,1
,原苏联列宁格勒造船学院,1,1
,原苏联列宁格勒铁道运输工程学院,1,1
,原苏联敖德萨建筑工程学院,1,1
,原苏联莫斯科包曼国立技术大学,1,1
,哈尔滨军事工程学院,1,1
,唐山铁道学院,1,1
,四川大学,1,1
,四川石油学院,1,1
,国立中央技艺专科学校,1,1
,国立中山大学,2,2
,大连工学院,1,1
,天津北洋大学,2,2
,天津工商学院,1,1
,安徽大学,1,1
,山东农学院,1,1
,山东大学,1,1
,山东海洋学院,2,2
,昆明工学院,5,5
,比利时列日大学,1,1
,民主德国麦塞堡化工学院,9,9
,沈阳农业大学,1,1
,现日本东京农工大学,1,1
,瑞士联邦工业大学,1,1
,美国伊利诺州立大学,1,1
,美国宾夕法尼亚州立大学,1,1
,美国普渡大学,1,1
,美国欧斯金大学,5,5
,苏联列宁格勒工学院,1,1
,苏联莫斯科包曼高等工业大学,1,1
,苏联莫斯科大学,2,2
,莫斯科农业机械化于电气化学院,2,2
,莫斯科动力学院,1,1
,莫斯科门捷列夫化工学院,1,1
,西北工业大学,1,1
,西南农学院,1,1
,西南联大，1943－1945年北京大学,2,2
,解放军通信工程学院,1,1
,重庆中央大学,3,3
,重庆交通大学,1,1
,重庆大学,1,1
,上海大夏大学,1,1
,中国医学科学院,8,8
,中国协和医学院,18,18
,中国协和医科大学,1,1
,同济医学院,1,1
,国立药学专科学校,1,1
,广州私立岭南大学,1,1
,日本东京大学,1,1
,日本北海道医疗大学,1,1
,沈阳医学院,1,1
,第六军医大学,1,1
,第四军医大学,1,1
,罗马尼亚科学院,1,1
,英国爱丁堡大学,1,1
,上海医学院,2,2
,上海科学技术大学,1,1
,东南大学,1,1
,中国科学院,2,2
,中山医学院,2,2
,云南大学,2,2
,军事医学科学院,1,1
,前中正医学院,1,1
,前国立中正医学院,1,1
,前苏联科学院,1,1
,前苏联莫斯科包曼工学院,1,1
,前苏联顿湼茨理工大学,1,1
,北京中医学院,1,1
,北京矿业学院,1,1
,北京航空航天大学,1,1
,华东华工学院,2,2
,华东师范大学,1,1
,华东水利学院,2,2
,华中工学院,1,1
,南京林学院,1,1
,南京气象学院,1,1
,原北京钢铁学院,1,1
,原苏联乌拉尔工业大学,1,1
,原苏联列宁格勒建筑工程学院,1,1
,原苏联莫斯科动力学院,1,1
,原苏联莫斯科建工学院,1,1
,原苏联莫斯科石油学院,1,1
,国立满洲医学院,1,1
,大同大学,1,1
,大阪大学,2,2
,广西大学,1,1
,成都华西协合大学,1,1
,日本京都大学,1,1
,法国巴黎第七大学,6,6
,福州大学,1,1
,福建协和大学,1,1
,美国纽约州立大学,1,1
,莫斯科工程物理学院,1,1
,西北农学院,1,1
,青岛山东大学,1,1
,中国人民解放军外国语学院,1,1
