,0
0,90.9
1,92.405416667
2,91.6768
3,87.317777778
4,93.217083333
5,89.818461538
6,90.627916667
7,87.92
8,87.4
9,89.24893617
10,90.969387755
11,92.1
12,90.280487805
13,83.596
14,90.536538462
15,91.43
16,91.734
17,88.529302326
18,90.833333333
19,87.372653061
20,89.224489796
21,88.598
22,89.604166667
23,90.753777778
24,84.893333333
25,91.665833333
26,88.293877551
27,87.503529412
28,85.7
29,86.91
30,86.375
31,84.40097561
32,80.644642857
33,85.417959184
34,86.997959184
35,87.505365854
36,84.75
37,88.519607843
38,89.704166667
39,85.826530612
40,84.0904
41,89.364705882
42,89.404255319
43,82.05
44,80.593658537
45,88.444782609
46,84.557692308
47,78.96
48,84.471698113
49,87.419574468
50,85.693478261
51,85.7
52,85.034545455
53,84.829230769
54,84.200833333
55,81.306122449
56,86.453469388
57,82.482978723
58,86.753877551
59,80.3084
60,82.509259259
61,78.000888889
62,83.857142857
63,82.775510204
64,82.914347826
65,82.917142857
66,76.304210526
67,77.433461538
68,79.663043478
69,77.4424
70,76.17755102
71,78.628444444
72,76.173043478
73,77.155555556
74,73.493684211
75,74.006153846
76,68.884210526
77,71.114285714
78,68.11
79,85.149090909
80,82.46
81,82.153478261
82,65.07125
83,77.555555556
84,67.548571429
85,67.1
86,41.236734694
87,47.285
88,34.218181818
