name,justify
安芷生, 第四纪地质学家，主要从事中国黄土－古土壤序列及其与深海沉积序列的对比、研究黄土堆积演化与环境变化的关系等领域研究。1941年2月25日生于湖南芷江。1962年毕业于南京大学。1966年中国科学院地质研究所、地球化学研究所研究生毕业。1991年当选为中国科学院学部委员（院士）。
常印佛, 矿床地质学家，长期从事矿产地质勘查和研究。1931年7月6日生于江苏泰兴。1952年毕业于清华大学地质系。1991年当选为中国科学院学部委员(院士)。
巢纪平, 气象学家，长期从事我国数值天气预报、长期数值天气预报、中小尺度大气动力学、积云动力学和热带大气动力学、热带海气相互作用以及海洋环境数值预报等领域研究。1932年10月19日生于江苏无锡。1954年毕业于南京大学气象系。1995年当选为中国科学院院士。
陈大可," 
物理海洋学家，长期从事物理海洋学基础研究。1957年9月22日生于湖南省长沙市。1982年毕业于湖南师范大学物理系，1985年获国家海洋局第二海洋研究所硕士学位，1989年获纽约州立石溪大学博士学位。2015年当选为中国科学院院士。
物理海洋学家，长期从事物理海洋学基础研究。1957年9月22日生于湖南省长沙市。1982年毕业于湖南师范大学物理系，1985年获国家海洋局第二海洋研究所硕士学位，1989年获纽约州立石溪大学博士学位。2015年当选为中国科学院院士。"
陈发虎," 
自然地理学家和环境变化专家，主要从事环境变化、古气候和干旱区地理研究。1962年12月4日生于陕西省丹凤县。1984年毕业于兰州大学地理系，1987年和1990年分别获该校自然地理学硕士和博士学位。2015年当选为中国科学院院士。
自然地理学家和环境变化专家，主要从事环境变化、古气候和干旱区地理研究。1962年12月4日生于陕西省丹凤县。1984年毕业于兰州大学地理系，1987年和1990年分别获该校自然地理学硕士和博士学位。2015年当选为中国科学院院士。"
陈俊勇, 大地测量学家，主要从事几何大地测量、卫星大地测量、地球重力场参数计算、地球动力学及结合卫星大地测量资料对中国参考椭球定位等领域研究。1933年5月16日生于上海。1960年毕业于武汉测绘学院。1981年获奥地利格拉茨技术大学科学技术博士学位。1991年当选为中国科学院学部委员(院士)。
陈骏, 地球化学家，长期从事表生地球化学和矿床地球化学研究。1954年11月7日出生于上海市。1980年毕业于南京大学，并于1982年和1985年先后获该校硕士和博士学位。2013年当选为中国科学院院士。
陈晓非," 
地球物理学家，长期从事地震波传播和震源破裂动力学理论与数值模拟研究。1958年2月生于辽宁省本溪市。1982年毕业于中国科学技术大学，1985年获中国地震局地球物理研究所硕士学位，1991年获美国南加州大学博士学位。2015年当选为中国科学院院士。
地球物理学家，长期从事地震波传播和震源破裂动力学理论与数值模拟研究。1958年2月生于辽宁省本溪市。1982年毕业于中国科学技术大学，1985年获中国地震局地球物理研究所硕士学位，1991年获美国南加州大学博士学位。2015年当选为中国科学院院士。"
陈旭, 古生物与地层学家，主要从事中国奥陶纪和志留纪地层学及笔石动物群的古生物学研究。1936年9月17日生于江苏南京。1959年毕业于北京地质学院。2003年当选为中国科学院院士。
陈颙, 地球物理学家，长期从事地震学和实验岩石物理学研究及其在环境、能源和减灾方面的潜在应用。1942年12月31日生于重庆。1965年毕业于中国科学技术大学地球物理系。1993年当选为中国科学院院士。
陈运泰, 地球物理学家，长期从事从事地震波和震源理论研究。1940年8月10日生于福建厦门。1962年毕业于北京大学地球物理系。1966年中国科学院地球物理研究所研究生毕业。1991年当选为中国科学院学部委员(院士)。
程国栋, 冻土学家，主要从事冻土学和干旱区生态水文和生态经济研究。1943年7月11日生于上海。1965年毕业于北京地质学院。1993年当选为中国科学院院士。
成秋明, 数学地球科学家、矿产勘查学家，主要从事定量地学研究。1960年3月出生于山西太谷。1982和1985年分别获长春地质学院学士和硕士学位，1994年获加拿大渥太华大学数学地质博士学位。2019年当选为中国科学院院士。
丑纪范, 气象学家，长期从事数值天气预报、数值模拟以及气候动力学的研究。1934年7月23日生于湖南长沙。1956年毕业于北京大学物理系。1993年当选为中国科学院院士。
崔鹏, 自然地理学与水土保持学家，长期从事泥石流等山地灾害研究。1957年8月7日出生于陕西西安。1982年毕业于西北大学，1985年在中国科学院成都地理研究所获硕士学位，1990年在北京林业大学获博士学位。2013年当选为中国科学院院士。
戴金星, 天然气地质与地球化学家，长期从事天然气地质和天然气地球化学研究工作。1935年3月19日生于浙江瑞安。1961年毕业于南京大学地质系。1995年当选为中国科学院院士。
戴民汉, 化学海洋学家，主要从事海洋生源要素、放射性核素的生物地球化学研究。1965年4月25日生于浙江杭州。1987年毕业于厦门大学，1995年在法国皮埃尔玛丽居里大学获博士学位。2017年当选为中国科学院院士。
戴永久, 气象学家，长期从事陆面过程和数值模式研究。1964年11月生于湖南邵阳。1987年在吉林大学数学系获学士学位，1995年在中国科学院大气物理研究所获博士学位。2019年当选为中国科学院院士。
邓军, 矿床地质学家，主要从事区域成矿学、矿田构造学和成矿预测研究。1958年1月出生于湖北省武汉市。1982年毕业于武汉地质学院，1989年获中国地质大学（武汉）硕士学位，1992年获中国地质科学院博士学位。2021年当选为中国科学院院士。
底青云, 应用地球物理学家，主要从事电磁法探测技术与方法、随钻旋转地质导向技术与方法等研究工作。1964年12月出生于河北省藁城市。1987年毕业于吉林大学（原长春地质学院），1990年获该校硕士学位，1998年获中国科学院地球物理研究所博士学位。2021年当选为中国科学院院士。
丁国瑜, 地质学家，长期从事新构造、活动构造、地震构造和地震危险性预测研究。1931年9月18日生于河北高阳。1952年北京大学地质系毕业。1959年获苏联莫斯科地质勘探学院副博士学位。1980年当选为中国科学院学部委员(院士)。
丁林, 地质学家，主要从事青藏高原地质学研究，1965年7月生于安徽省萧县。1988年毕业于北京大学地质学系，1991年于中国科学院地质研究所获硕士学位，1999年于该研究所获博士学位。2017年当选为中国科学院院士。
丁仲礼, 第四纪地质学家，主要从事第四纪地质与古环境等方面的研究。1957年1月出生于浙江省嵊县。1982年在浙江大学获地球化学学士学位。1988年在中国科学院地质研究所获第四纪地质与古气候博士学位。2005年当选为中国科学院院士。
窦贤康, 空间物理学家，主要从事中高层大气理论、观测与实验综合研究。1966年1月生于安徽省泗县。1987年毕业于中国科学技术大学地球和空间科学系，1990年、1993年分别获巴黎第七大学硕士学位和博士学位。2017年当选为中国科学院院士。
冯士筰, 物理海洋和环境海洋学家，长期从事浅海环流和长期物质输运方面的研究。1937年3月8日生于天津。1962年毕业于清华大学工程力学数学系。1997年当选为中国科学院院士。
符淙斌, 气候学家，1939年10月14日生于上海。1962年毕业于南京大学气象系，1967年中国科学院研究生毕业。2003年当选为中国科学院院士。
傅伯杰, 自然地理学、景观生态学家，主要从事景观生态学和综合自然地理学研究。1958年1月4日生于陕西省咸阳市。1982年毕业于陕西师范大学地理系，1984年获该校硕士学位，1989年获北京大学和英国Stirling大学联合培养博士学位。2011年当选为中国科学院院士。
高俊, 地图学与地理信息系统学家，主要从事理论地图学、数字地图及地理信息系统研究。1933年10月7日生于北京。1956年毕业于解放军测绘学院。1999年当选为中国科学院院士。
高锐," 
地球物理学家，长期从事地球物理与深部构造研究。1950年5月生于吉林省长春市。1977年毕业于长春地质学院地球物理勘探系，1981年获该校硕士学位。2015年当选为中国科学院院士。
地球物理学家，长期从事地球物理与深部构造研究。1950年5月生于吉林省长春市。1977年毕业于长春地质学院地球物理勘探系，1981年获该校硕士学位。2015年当选为中国科学院院士。"
龚健雅, 测绘与地理信息学家，主要从事地理信息理论和几何遥感基础研究。1957年4月生于江西省樟树市。1982年毕业于华东地质学院测量系，1992年于武汉测绘科技大学获博士学位。2011年当选为中国科学院院士。
郭华东, 地球科学学家，主要从事遥感科学与应用研究。1950年10月6日生于江苏丰县。1977年毕业于南京大学，1981年获中国科学院硕士学位。2009年被澳大利亚科廷大学授予名誉科学博士学位。2011年当选为中国科学院院士。
郭正堂, 新生代地质与古气候学家，主要从事新生代地质与古气候学研究。1964年4月8日出生于山西应县。1983年毕业于北京大学。1985年于法国波尔多大学获硕士学位。1990年于巴黎第六大学获博士学位。2013年当选为中国科学院院士。
郝芳," 
石油地质学家，长期从事油气成藏机理研究。1964年5月生于内蒙古自治区赤峰市敖汉旗。1986年毕业于武汉地质学院，1995年获中国地质大学（武汉）博士学位。2015年当选为中国科学院院士。
石油地质学家，长期从事油气成藏机理研究。1964年5月生于内蒙古自治区赤峰市敖汉旗。1986年毕业于武汉地质学院，1995年获中国地质大学（武汉）博士学位。2015年当选为中国科学院院士。"
侯增谦, 矿床地质学家，主要从事大陆成矿理论、矿床成矿模型和勘查评价方法研究。1961年6月生于河北省藁城市。1982年毕业于河北地质学院，1985和1988年分获中国地质大学（北京）硕士和博士学位。2017年当选为中国科学院院士。
胡敦欣, 物理海洋学家，中国海洋通量研究的开拓者。在太平洋发现并命名“棉兰老潜流”，改变了有关太平洋边界流动力学结构的传统认识，对海洋经向热量输送、平衡和气候有重要影响。1936年10月20日生于山东即墨。1961年毕业于山东大学/山东海洋学院。1966年中国科学院海洋研究所研究生毕业。2001年当选为中国科学院院士。
胡瑞忠, 矿床学和矿床地球化学家，主要从事矿床学和矿床地球化学研究。1958年12月出生于湖南省永州市。1982年毕业于成都地质学院（现成都理工大学），1985、1988年分别获该校硕士、博士学位。2021年当选为中国科学院院士。
黄建平, 大气科学家，主要从事气候研究。1962年11月出生于青海西宁。1982年毕业于南京气象学院（现南京信息工程大学），1986年获中科院兰州高原大气物理所硕士学位，1988年获兰州大学博士学位。2021年当选为中国科学院院士。
黄荣辉, 气象学家，主要从事亚洲季风与ENSO循环相互作用和气候灾害机理的研究。1942年8月17日生于福建惠安。1965年毕业于北京大学地球物理系。1968年中国科学院大气物理研究所研究生毕业。1983年获日本东京大学理学博士学位。1991年当选为中国科学院学部委员(院士)。
贾承造, 石油地质与构造地质学家，长期从事塔里木盆地的地质科研与石油勘探工作。1948年3月10日生于甘肃兰州。1975年毕业于新疆工学院地质系，1987年获南京大学构造地质与地球物理专业博士学位。2003年当选为中国科学院院士。
焦念志, 生物海洋学家，主要从事微型生物海洋学研究。1962年12月生于山东潍坊市。1991年与青岛海洋大学（中国海洋大学前身）获博士学位。2011年当选为中国科学院院士。
金振民, 地质学家，主要从事构造地质学，地质力学和地球深部物质性质的研究和教学工作。1941年9月21日生于浙江省温州市。1965年毕业于北京地质学院。2005年当选为中国科学院院士。
金之钧, 石油地质家，主要从事深层油气成藏机理与海相油气地质理论研究及勘探实践工作。1957年9月29日生于山东省胶南。1981年毕业于山东科技大学。1992年获俄罗斯莫斯科石油与天然气大学石油地质学副博士学位。2007年获俄罗斯联邦教育科学部地质矿物学博士学位。2013年当选为中国科学院学院士。
李崇银, 气象学家，长期从事气象研究工作。1940年4月15日生于四川达县。1963年毕业于中国科学技术大学。2001年当选为中国科学院院士。
李德仁, 摄影测量与遥感学家，主要从事测量误差理论与处理方法研究。1939年12月31日生于江苏泰县。1963年毕业于武汉测绘学院航测系，1981年获该校摄影测量与遥感专业硕士学位。1985年获德国斯图加特大学博士学位。1991年当选为中国科学院学部委员(院士)。
李德生, 石油地质学家，长期从事石油勘探开发和地质研究工作。1922年10月17日生于上海。1945年毕业于中央大学地质系。1991年当选为中国科学院学部委员（院士）。
