姓名,出生地,当选年份,省,市
陈鲸,安徽省安庆市怀宁县,2005,安徽省,安庆市
宁津生,安徽省桐城县,1995,安徽省,安庆市
冯夏庭,安徽省潜山县,2019,安徽省,安庆市
周志鑫,安徽太湖县,2015,安徽省,安庆市
汤中立,安徽省安庆市,1995,安徽省,安庆市
徐南平,安徽省桐城市,2005,安徽省,安庆市
吴曼青,安徽省桐城市,2009,安徽省,安庆市
杨善林,安徽省怀宁县,2013,安徽省,安庆市
彭寿,安徽省桐城市,2019,安徽省,安庆市
蒋昌俊,安徽省安庆市,2021,安徽省,安庆市
孙德和,安徽桐城,1955,安徽省,安庆市
杨石先,安徽怀宁,1955,安徽省,安庆市
慈云桂,安徽桐城,1980,安徽省,安庆市
陈新民,安徽望江,1980,安徽省,安庆市
邓稼先,安徽怀宁,1980,安徽省,安庆市
王业宁,安徽安庆,1991,安徽省,安庆市
陆大道,安徽桐城,2003,安徽省,安庆市
方精云,安徽怀宁,2005,安徽省,安庆市
李亚栋,安徽宿松县,2011,安徽省,安庆市
程和平,安徽桐城,2013,安徽省,安庆市
吴立新,安徽桐城,2013,安徽省,安庆市
陆林,安徽安庆,2017,安徽省,安庆市
方复全,安徽桐城,2017,安徽省,安庆市
陈军,安徽宿松县,2017,安徽省,安庆市
常凯,安徽潜山,2019,安徽省,安庆市
钱前,安徽安庆,2019,安徽省,安庆市
吴宜灿,安徽安庆,2019,安徽省,安庆市
高鸿钧,安徽怀远县,2011,安徽省,蚌埠市
刘文清,安徽省蚌埠市,2013,安徽省,蚌埠市
张本仁,安徽怀远,1999,安徽省,蚌埠市
卢秉恒,安徽省亳州市,2005,安徽省,亳州市
丁一汇,安徽省亳州市,2005,安徽省,亳州市
段树民,安徽蒙城,2007,安徽省,亳州市
李根生,安徽省石台县,2015,安徽省,池州市
陈学俊,安徽滁县,1980,安徽省,滁州市
康乐,河北唐县,2011,安徽省,滁州市
方维海,安徽定远县,2013,安徽省,滁州市
陆元九,安徽省滁州市,1994,安徽省,滁州市
凌永顺,安徽省定远,1997,安徽省,滁州市
樊邦奎,安徽省滁州市,2015,安徽省,滁州市
汤广福,安徽省滁州市,2017,安徽省,滁州市
陆元九,安徽滁州,1980,安徽省,滁州市
穆穆,安徽定远,2007,安徽省,滁州市
王锡凡,安徽凤阳,2009,安徽省,滁州市
刘德培,安徽省阜南县,1996,安徽省,阜阳市
刘德培,安徽省阜南县,1996,安徽省,阜阳市
郑守仁,安徽颍上,1997,安徽省,阜阳市
陈国良,安徽颍上,2003,安徽省,阜阳市
韩斌,安徽阜阳,2013,安徽省,阜阳市
谢毅,安徽阜阳,2013,安徽省,阜阳市
陈孝平,安徽阜南,2015,安徽省,阜阳市
李建刚,安徽合肥市,2015,安徽省,合肥市
徐克勤,安徽巢县,1980,安徽省,合肥市
沈荣骏,安徽省合肥市,2005,安徽省,合肥市
张军,安徽省合肥市,2013,安徽省,合肥市
刘宏,安徽省合肥市,2021,安徽省,合肥市
朱合华,安徽省合肥市,2021,安徽省,合肥市
刘盛纲,安徽肥东,1980,安徽省,合肥市
杨振宁,安徽合肥,1994,安徽省,合肥市
彭一刚,安徽合肥,1995,安徽省,合肥市
吴新智,安徽合肥,1999,安徽省,合肥市
李家洋,安徽肥西,2001,安徽省,合肥市
郑永飞,安徽长丰,2009,安徽省,合肥市
王广厚,安徽肥西县,2011,安徽省,合肥市
吴福元,安徽庐江县,2015,安徽省,合肥市
俞书宏,安徽庐江县,2019,安徽省,合肥市
姜涛,安徽省淮北市,2021,安徽省,淮北市
张守攻,安徽省淮南市,2017,安徽省,淮南市
张守攻,安徽省淮南市,2017,安徽省,淮南市
范先群,安徽省淮南市,2021,安徽省,淮南市
韩家淮,安徽淮南,2013,安徽省,淮南市
卞修武,安徽寿县,2017,安徽省,淮南市
汪菊渊,安徽休宁县,1995,安徽省,黄山市
方家熊,安徽省黄山市,2001,安徽省,黄山市
汪堃仁,安徽休宁,1980,安徽省,黄山市
许根俊,安徽歙县,1991,安徽省,黄山市
许厚泽,安徽歙县,1991,安徽省,黄山市
刘有成,安徽舒城,1980,安徽省,六安市
汤涛,安徽舒城县,2017,安徽省,六安市
项昌乐,安徽省六安市霍山县,2019,安徽省,六安市
袁亮,安徽省金寨县,2009,安徽省,六安市
陈军,安徽省霍邱县,2019,安徽省,六安市
江碧涛,安徽省六安市,2021,安徽省,六安市
徐大懋,安徽省当涂县,1997,安徽省,马鞍山市
俞建章,安徽和县,1955,安徽省,马鞍山市
侯学煜,安徽和县,1980,安徽省,马鞍山市
王文兴,安徽省萧县市,1999,安徽省,宿州市
王运敏,安徽省砀山市,2019,安徽省,宿州市
高松,安徽泗县,2007,安徽省,宿州市
丁林,安徽萧县,2017,安徽省,宿州市
窦贤康,安徽泗县,2017,安徽省,宿州市
姚富强,安徽省铜陵市枞阳县,2019,安徽省,铜陵市
丁汉,安徽枞阳县,2013,安徽省,铜陵市
汪旭光,安徽省枞阳县,1995,安徽省,铜陵市
陈学东,安徽省铜陵市,2015,安徽省,铜陵市
曹建国,安徽枞阳,2019,安徽省,铜陵市
张来斌,安徽省铜陵市,2021,安徽省,铜陵市
王福生,安徽枞阳,2015,安徽省,铜陵市
汪应洛,安徽省芜湖市,2003,安徽省,芜湖市
徐仁,安徽芜湖,1980,安徽省,芜湖市
卢强,安徽无为,1991,安徽省,芜湖市
黄纬禄,安徽芜湖,1991,安徽省,芜湖市
吴奇,安徽芜湖,2003,安徽省,芜湖市
宣益民,安徽无为县,2015,安徽省,芜湖市
章基嘉,安徽省绩溪,1994,安徽省,宣城市
许杰,安徽广德,1955,安徽省,宣城市
江泽涵,安徽旌德,1955,安徽省,宣城市
任新民,安徽宁国,1980,安徽省,宣城市
汪卫华,安徽宁国,2015,安徽省,宣城市
叶向东,安徽宁国,2019,安徽省,宣城市
关杰,印度尼西亚,1997,北京市,北京市
王善源,印度尼西亚,1957,北京市,北京市
俞昌旋,印度尼西亚,2007,北京市,北京市
彭建兵,湖北麻城,2019,北京市,北京市
余贻鑫,北京密云县,2005,北京市,北京市
洪德元,安徽绩溪,1991,北京市,北京市
鞠躬,安徽绩溪,1991,北京市,北京市
方荣祥,安徽绩溪,2003,北京市,北京市
胡亚美,北京,1994,北京市,北京市
何德全,北京市,1994,北京市,北京市
李大东,北京市,1994,北京市,北京市
李鸿志,北京市,1994,北京市,北京市
傅熹年,北京,1994,北京市,北京市
黄培云,北京市,1994,北京市,北京市
管德,北京市,1994,北京市,北京市
钱易,北京市,1994,北京市,北京市
胡启恒,北京市,1994,北京市,北京市
范维唐,北京市,1994,北京市,北京市
张维,北京,1994,北京市,北京市
曾士迈,北京市,1995,北京市,北京市
李东英,北京市,1995,北京市,北京市
左铁镛,北京市,1995,北京市,北京市
关肇邺,北京,1995,北京市,北京市
陆建勋,北京市,1995,北京市,北京市
刘广志,北京,1995,北京市,北京市
李鹗鼎,北京,1995,北京市,北京市
梁维燕,北京,1995,北京市,北京市
王澍寰,北京市,1997,北京市,北京市
赵伊君,北京市,1997,北京市,北京市
梁晋才,北京市,1997,北京市,北京市
胡见义,北京市,1997,北京市,北京市
金涌,北京市,1997,北京市,北京市
朱尊权,北京市,1997,北京市,北京市
闻玉梅,北京市,1999,北京市,北京市
才鸿年,北京市,2001,北京市,北京市
江亿,北京市,2001,北京市,北京市
王众托,北京市,2001,北京市,北京市
陈左宁,北京市,2001,北京市,北京市
王浩,北京市,2005,北京市,北京市
于振文,北京市,2007,北京市,北京市
屠海令,北京市,2007,北京市,北京市
屠海令,北京市,2007,北京市,北京市
岳光溪,北京市,2009,北京市,北京市
程京,北京市,2009,北京市,北京市
崔愷,北京,2011,北京市,北京市
刘连元,北京市,2011,北京市,北京市
王辰,北京市,2013,北京市,北京市
丁文华,北京市,2013,北京市,北京市
李卫,北京市,2015,北京市,北京市
吴锋,北京市,2017,北京市,北京市
范国滨,北京市,2017,北京市,北京市
周志成,北京市,2017,北京市,北京市
苏东林,北京市,2019,北京市,北京市
田伟,北京市,2019,北京市,北京市
李宁,北京市,2019,北京市,北京市
罗毅,北京市,2021,北京市,北京市
许宝騄,北京,1948,北京市,北京市
马大猷,北京,1955,北京市,北京市
傅鹰,北京,1955,北京市,北京市
傅承义,北京,1957,北京市,北京市
陈华癸,北京,1980,北京市,北京市
董申保,北京,1980,北京市,北京市
金建中,北京,1980,北京市,北京市
刘光鼎,北京,1980,北京市,北京市
张炳熹,北京,1980,北京市,北京市
俞德浚,北京,1980,北京市,北京市
毛鹤年,北京,1980,北京市,北京市
蒋丽金,北京,1980,北京市,北京市
李林,北京,1980,北京市,北京市
陈永龄,北京,1980,北京市,北京市
高振衡,北京,1980,北京市,北京市
洪朝生,北京,1980,北京市,北京市
汪德熙,北京,1980,北京市,北京市
郝柏林,北京,1980,北京市,北京市
涂光炽,北京,1980,北京市,北京市
黄昆,北京,1980,北京市,北京市
杨槱,北京,1980,北京市,北京市
郭可信,北京,1980,北京市,北京市
林同骥,北京,1980,北京市,北京市
谢学锦,北京,1980,北京市,北京市
陈俊武,北京,1991,北京市,北京市
周同惠,北京,1991,北京市,北京市
孙鸿烈,北京,1991,北京市,北京市
高镇同,北京,1991,北京市,北京市
李德平,北京,1991,北京市,北京市
谢毓元,北京,1991,北京市,北京市
周尧和,北京,1991,北京市,北京市
胡聿贤,北京,1991,北京市,北京市
严陆光,北京,1991,北京市,北京市
阎隆飞,北京,1991,北京市,北京市
童宪章,北京,1991,北京市,北京市
霍裕平,北京,1993,北京市,北京市
李依依,北京,1993,北京市,北京市
梁思礼,北京,1993,北京市,北京市
戴立信,北京,1993,北京市,北京市
张维,北京,1994,北京市,北京市
朱起鹤,北京,1995,北京市,北京市
杨应昌,北京,1997,北京市,北京市
李未,北京,1997,北京市,北京市
张宗烨,北京,1999,北京市,北京市
刘若庄,北京,1999,北京市,北京市
黄润乾,北京,1999,北京市,北京市
高俊,北京,1999,北京市,北京市
涂传诒,北京,2001,北京市,北京市
马祖光,北京,2001,北京市,北京市
邝宇平,北京,2003,北京市,北京市
郑光美,北京,2003,北京市,北京市
葛墨林,北京,2003,北京市,北京市
杨卫,北京,2003,北京市,北京市
林尊琪,北京,2003,北京市,北京市
吴一戎,北京,2007,北京市,北京市
段雪,北京,2007,北京市,北京市
庄文颖,北京,2009,北京市,北京市
张维岩,北京,2011,北京市,北京市
赵继宗,北京,2013,北京市,北京市
杨秀荣,北京,2013,北京市,北京市
曹晓风,北京,2015,北京市,北京市
顾瑛,北京,2015,北京市,北京市
谢晓亮,北京,2017,北京市,北京市
陈松蹊,北京,2021,北京市,北京市
夏克青,北京,2021,北京市,北京市
陈香美,朝鲜咸镜北道清津市,2007,朝鲜,咸镜北道清津市
钟惠澜,葡属东帝汶的叻利岛,1955,东帝汶,东帝汶
叶渚沛,菲律宾马尼拉,1955,菲律宾,马尼拉
唐崇惕,主要从事与,1991,福建省,福州市
郭孔辉,福建省福州市,1994,福建省,福州市
石玉麟,福建省福州市,1995,福建省,福州市
许居衍,福建省福州市,1995,福建省,福州市
陈明致,福建省福州市,1995,福建省,福州市
严恺,福建省闽侯县,1995,福建省,福州市
李载平,福建福州,1996,福建省,福州市
卢耀如,福建省福州市,1997,福建省,福州市
王任享,福建省福州市,1997,福建省,福州市
陈良惠,福建省福州市,1999,福建省,福州市
陈一坚,福建省福州市,1999,福建省,福州市
张文海,福建省福州市,2003,福建省,福州市
王海舟,福建省福州市,2011,福建省,福州市
林东昕,福建省福州市,2013,福建省,福州市
夏照帆,福建省福州市,2013,福建省,福州市
陈杰,福建省福清市,2017,福建省,福州市
龙腾,福建省福州市,2021,福建省,福州市
侯德榜,福建闽侯,1948,福建省,福州市
邓叔群,福建福州,1948,福建省,福州市
虞宏正,福建闽侯,1955,福建省,福州市
张钰哲,福建闽侯,1955,福建省,福州市
陈彪,福建福州,1980,福建省,福州市
唐仲璋,福建福州,1980,福建省,福州市
郑作新,福建福州,1980,福建省,福州市
王绶琯,福建福州,1980,福建省,福州市
梁守槃,福建福州,1980,福建省,福州市
沈元,福建福州,1980,福建省,福州市
田昭武,福建福州,1980,福建省,福州市
陈景润,福建福州,1980,福建省,福州市
曾融生,福建福清,1980,福建省,福州市
高由禧,福建福清,1980,福建省,福州市
陈建生,福建福州,1991,福建省,福州市
陈可冀,福建福州,1991,福建省,福州市
庄巧生,福建闽侯,1991,福建省,福州市
阙端麟,福建福州,1991,福建省,福州市
吴孟超,福建闽清,1991,福建省,福州市
王乃彦,福建福州,1993,福建省,福州市
林群,福建连江,1993,福建省,福州市
梁敬魁,福建福州,1993,福建省,福州市
刘应明,福建福州,1995,福建省,福州市
严恺,福建闽侯,1995,福建省,福州市
张钹,福建福清,1995,福建省,福州市
侯虞钧,福建福州,1997,福建省,福州市
林惠民,福建福州,1999,福建省,福州市
陈霖,福建福州,2003,福建省,福州市
侯建国,福建平潭,2003,福建省,福州市
陈懿,福建福州,2005,福建省,福州市
林海青,福建福州,2019,福建省,福州市
涂善东,福建省龙岩市,2019,福建省,龙岩市
卢衍豪,福建永定,1980,福建省,龙岩市
谢联辉,福建龙岩,1991,福建省,龙岩市
林尚安,福建永定,1993,福建省,龙岩市
郭柏灵,福建龙岩,2001,福建省,龙岩市
谢华安,福建龙岩,2007,福建省,龙岩市
谢素原,福建上杭,2021,福建省,龙岩市
徐洵,福建省建瓯市,1999,福建省,南平市
付贤智,福建省邵武市,2009,福建省,南平市
吴明红,福建省浦城县,2021,福建省,南平市
李儒新,福建建瓯,2017,福建省,南平市
陈森玉,福建省仙游市,2001,福建省,莆田市
闵桂荣,福建省莆田县,1994,福建省,莆田市
林华宝,福建莆田,1997,福建省,莆田市
杨锦宗,福建省莆田市,2001,福建省,莆田市
俞永新,福建省仙游县,2001,福建省,莆田市
刘思职,福建仙游,1957,福建省,莆田市
林兰英,福建莆田,1980,福建省,莆田市
黄维垣,福建莆田,1980,福建省,莆田市
闵桂荣,福建莆田,1991,福建省,莆田市
陈宜瑜,福建仙游,1991,福建省,莆田市
洪茂椿,福建莆田,2003,福建省,莆田市
龚旗煌,福建莆田,2013,福建省,莆田市
杨永斌,福建省金门县,2009,福建省,泉州市
林鹏,福建省晋江市,2001,福建省,泉州市
陈火旺,福建省安溪县,1997,福建省,泉州市
李龙土,福建省南安市,1997,福建省,泉州市
李幼平,福建省泉州市,1999,福建省,泉州市
林俊德,福建省永春县,2001,福建省,泉州市
庄长恭,福建泉州,1948,福建省,泉州市
蔡镏生,福建泉州,1957,福建省,泉州市
张文裕,福建惠安,1957,福建省,泉州市
谢希德,福建泉州,1980,福建省,泉州市
黄荣辉,福建惠安,1991,福建省,泉州市
张乾二,福建惠安,1991,福建省,泉州市
施教耐,福建晋江,1991,福建省,泉州市
欧阳钟灿,福建泉州,1997,福建省,泉州市
吴新涛,福建石狮,1999,福建省,泉州市
陈桂林,福建南安,2001,福建省,泉州市
陈木法,福建惠安,2003,福建省,泉州市
