0,1
江苏省,无锡市
河北省,唐山市
西藏自治区,那曲市
四川省,凉山彝族自治州
江苏省,无锡市
河南省,南阳市
河南省,南阳市
广东省,江门市
浙江省,台州市
浙江省,宁波市
None,None
山东省,威海市
浙江省,湖州市
江苏省,无锡市
山东省,青岛市
河北省,张家口市
河北省,张家口市
None,None
四川省,成都市
江苏省,连云港市
西藏自治区,山南市
吉林省,长春市
江苏省,南京市
江西省,吉安市
广东省,广州市
湖北省,武汉市
浙江省,宁波市
浙江省,宁波市
湖南省,湘西土家族苗族自治州
None,None
江苏省,盐城市
安徽省,安庆市
辽宁省,锦州市
湖南省,邵阳市
广东省,茂名市
福建省,厦门市
广西壮族自治区,河池市
湖南省,娄底市
江苏省,盐城市
河北省,衡水市
新疆维吾尔自治区,塔城地区
吉林省,延边朝鲜族自治州
江西省,南昌市
江苏省,扬州市
内蒙古自治区,乌兰察布市
新疆维吾尔自治区,伊犁哈萨克自治州
山西省,晋中市
广东省,深圳市
河北省,石家庄市
内蒙古自治区,锡林郭勒盟
新疆维吾尔自治区,巴音郭楞蒙古自治州
新疆维吾尔自治区,巴音郭楞蒙古自治州
None,None
河北省,沧州市
山西省,运城市
黑龙江省,鸡西市
安徽省,铜陵市
四川省,自贡市
四川省,广元市
内蒙古自治区,锡林郭勒盟
陕西省,西安市
贵州省,贵阳市
江苏省,南通市
湖南省,常德市
河北省,张家口市
浙江省,宁波市
江苏省,南京市
新疆维吾尔自治区,阿克苏地区
湖南省,邵阳市
浙江省,宁波市
江苏省,无锡市
河北省,唐山市
湖南省,张家界市
山东省,东营市
甘肃省,白银市
浙江省,湖州市
浙江省,湖州市
山东省,威海市
河南省,南阳市
西藏自治区,昌都市
湖北省,武汉市
湖南省,娄底市
湖北省,武汉市
江苏省,无锡市
浙江省,宁波市
湖北省,武汉市
浙江省,湖州市
河北省,石家庄市
湖南省,常德市
湖北省,鄂州市
江苏省,无锡市
浙江省,宁波市
湖北省,荆州市
河南省,南阳市
江苏省,连云港市
湖南省,益阳市
新疆维吾尔自治区,第四师可克达拉市
湖南省,岳阳市
None,None
云南省,大理白族自治州
江苏省,南京市
吉林省,长春市
江苏省,无锡市
山东省,济宁市
广东省,潮州市
江苏省,无锡市
广东省,佛山市
浙江省,宁波市
福建省,厦门市
None,None
江苏省,无锡市
江苏省,南通市
浙江省,嘉兴市
江苏省,无锡市
湖北省,武汉市
云南省,怒江傈僳族自治州
广东省,广州市
山东省,青岛市
湖南省,常德市
浙江省,湖州市
None,None
江苏省,无锡市
辽宁省,沈阳市
安徽省,六安市
浙江省,宁波市
广东省,茂名市
湖北省,武汉市
辽宁省,营口市
湖北省,武汉市
江苏省,无锡市
湖南省,怀化市
四川省,凉山彝族自治州
辽宁省,沈阳市
广东省,东莞市
浙江省,湖州市
None,None
浙江省,宁波市
浙江省,宁波市
湖北省,武汉市
湖南省,永州市
河南省,新乡市
浙江省,宁波市
辽宁省,锦州市
山西省,运城市
湖南省,常德市
江苏省,南京市
江苏省,苏州市
陕西省,渭南市
None,None
广东省,广州市
辽宁省,葫芦岛市
浙江省,宁波市
浙江省,宁波市
河南省,南阳市
浙江省,宁波市
湖北省,武汉市
湖北省,武汉市
浙江省,宁波市
四川省,成都市
山东省,济南市
河南省,信阳市
山东省,青岛市
河南省,许昌市
甘肃省,庆阳市
广东省,河源市
None,None
河南省,许昌市
吉林省,长春市
江苏省,无锡市
山西省,运城市
甘肃省,定西市
江苏省,无锡市
辽宁省,大连市
甘肃省,定西市
广东省,清远市
湖北省,仙桃市
河南省,南阳市
四川省,内江市
陕西省,延安市
河南省,许昌市
河北省,唐山市
广东省,潮州市
山东省,青岛市
河南省,三门峡市
山西省,长治市
江苏省,无锡市
河南省,安阳市
内蒙古自治区,通辽市
内蒙古自治区,赤峰市
安徽省,六安市
江苏省,连云港市
辽宁省,大连市
江苏省,南通市
江苏省,无锡市
江苏省,南通市
江苏省,无锡市
河南省,安阳市
吉林省,长春市
山东省,聊城市
广西壮族自治区,北海市
内蒙古自治区,锡林郭勒盟
陕西省,西安市
贵州省,贵阳市
江苏省,南通市
湖南省,常德市
河南省,信阳市
河北省,张家口市
湖北省,随州市
内蒙古自治区,鄂尔多斯市
河北省,沧州市
湖北省,黄冈市
陕西省,榆林市
四川省,南充市
陕西省,咸阳市
湖北省,孝感市
河南省,周口市
浙江省,宁波市
江苏省,南京市
新疆维吾尔自治区,阿克苏地区
湖南省,邵阳市
浙江省,宁波市
江苏省,无锡市
河北省,唐山市
湖南省,张家界市
山东省,东营市
甘肃省,白银市
浙江省,湖州市
