姓名,出生地
沙庆林,江苏宜兴
张蔚榛,河北丰南
陈清泉,印尼马吉朗
魏可镁,日本人吉
吴中如,江苏宜兴
杜祥琬,河南南阳
杜祥琬,河南南阳
陈灏珠,广东江门新会
方秦汉,浙江台州黄岩
徐秉汉,浙江鄞
范云六,"湖南长沙,1952年毕业于武汉大学农学院农业化学系,1960年毕业于苏联列宁格勒大学生物系微生物学专业,获苏联列宁格勒大学生物系副博士学位"
胡光镇,江苏松江（现属上海）
李乐民,浙江吴兴
陈国良,江苏宜兴
侯锋,山东平度
于润沧,河北（原察哈尔）张家口
樊明武,湖北沙
曾庆元,江西泰和原籍
戴复东,广东广州（安徽无为人）
陈吉余,江苏灌云
多吉,西藏自治加查
于本水,吉林长春九台
宫先仪,江苏江宁
王哲荣,是全系统全过程技术决策、组织实施的主要负责
潘健生,广东番禺
龙乐豪,湖北武汉汉阳
庄辉,浙江奉化
范立础,浙江镇海
吴天一,新疆维吾尔自治伊犁哈萨克自治州
侯保荣,山东菏泽曹
夏咸柱,江苏盐城建湖
陈鲸,安徽安庆怀宁
康玉柱,辽宁北宁
刘兴土,马来西亚马六甲
陈肇隆,台湾高雄
陈香美,朝鲜咸镜北道清津
廖万清,新加坡
杨永斌,福建金门
于俊崇,江苏盐城滨海
吴以岭,河北故城
栾恩杰,吉林白城地
郎景和,吉林珲春
甘晓华,江西临川（今属进贤）
钱旭红,江苏扬州宝应
李建成,内蒙古自治集宁
吾守尔·斯拉木,新疆维吾尔自治伊犁察布查尔
胡春宏,山西晋中榆次
宋宝安,广东深圳
李魁武,河北井陉
武强,内蒙古自治呼和浩特
田志刚,新疆维吾尔自治巴音郭楞蒙古自治州库尔勒
邓铭江,新疆维吾尔自治库尔勒
潘复生,浙江（自治）兰溪（）
王国法,山东文登现威海南海新
刘正东,内蒙突泉（原属吉林白城）
赵振堂,黑龙江密山
姚富强,安徽铜陵枞阳
罗琦,四川自贡富顺
罗先刚,四川广元苍溪
张立群,内蒙古自治多伦
胡晓棉,陕西高陵
杨长风,湖南益阳南
刘加平,江苏南通海安
许为钢,四川重庆
王树新,河北张家口宣化
童第周,浙江鄞
周仁,江苏江宁
王家楫,江苏奉贤
张景钺,湖北光化
贝时璋,浙江镇海
潘菽,江苏宜兴
裴文中,河北丰南
田奇隽,湖南张家界(原大庸)
钟惠澜,葡属东帝汶的叻利岛
陈文贵,四川永川
梁希,浙江吴兴
陆学善,浙江吴兴
施汝为,江苏崇明(今属上海)
陈凤桐,河南内乡
叶渚沛,菲律宾马尼拉
恽子强,湖北武昌
王应睐,福建金门
涂治,湖北黄陂
周培源,江苏宜兴
纪育沣,浙江鄞
涂长望,湖北汉口
叶桔泉,浙江吴兴
王之玺,河北行唐
沈其震,四川重庆
赵飞克,湖北鄂城
唐敖庆,江苏宜兴
章名涛,浙江鄞
周泽昭,四川江津
冯景兰,河南唐河
汪德昭,江苏灌云
王竹泉,河北交河
赵宗燠,四川荣昌
高庆狮,福建鼓浪屿．1957年毕业于北京大学数学力学系
李春昱,河南汲
王鸿祯,山东苍山
于敏,河北宁河
岳希新,吉林吉林
史绍熙,江苏宜兴
蔡其巩,印尼泗水
庄育智,广东潮安
章综,江苏宜兴
王世真,日本千叶
翁文波,浙江鄞
蔡启瑞,福建同安
方心芳,河南临颖
朱既明,江苏宜兴
管惟炎,江苏如东
唐有祺,原江苏南汇
朱洪元,江苏宜兴
彭少逸,湖北武昌
谷德振,河南密
何炳林,广东番禺
黄劭显,山东即墨
汪家鼎,四川重庆
王仁,浙江吴兴
陈宗基,印度尼西亚爪哇岛
吴浩青,江苏宜兴
周廷儒,浙江新登(今富阳)
刘有成,安徽舒城
陈创天,浙江奉化
甘子钊,广东信宜
陈庆宣,湖北黄陂
张树政,河北束鹿
宋振骐,湖北汉阳
程镕时,江苏宜兴
安芷生,湖南芷江
刘新垣,酵母丙氨酸tRNA的
赵柏林,辽宁辽中
李衍达,广东东莞
屠守锷,浙江吴兴
唐崇惕,主要从事与
陈子元,浙江鄞
杨雄里,浙江镇海
赵玉芬,湖北汉口
王梓坤,湖南零陵
高为炳,河南卫辉
杨福愉,浙江镇海
王淀佐,辽宁凌海
席泽宗,山西垣曲
夏培肃,四川重庆
杨立铭,江苏溧水
邓锡铭,广东东菀
石青云,四川合川
王文采,山东掖
卢永根,广东花都
母国光,辽宁锦西
吴祖泽,浙江镇海
朱兆良,浙江奉化
王占国,河南镇平
贺贤土,浙江镇海
郭慕孙,湖北汉阳
万惠霖,湖北汉口
沈自尹,浙江镇海
高世扬,四川崇庆
张嗣瀛,山东章丘
王颖,河南潢川
胡敦欣,山东即墨
沈岩,主要从事
卢柯,甘肃华池
林其谁,福建蒲田
饶子和,主要从事与
贺林,长期从事
李天,吉林吉林
褚君浩,江苏宜兴
汪忠镐,主要从事动脉造影及内皮细胞种植
姚檀栋,甘肃通渭
吴岳良,江苏宜兴
孙昌璞,辽宁普兰店
尚永丰,甘肃通渭
席南华,广东英德
罗俊,湖北沔阳
王光谦,河南镇平
严纯华,上海川沙
武向平,陕西黄龙
金力,长期从事
韩布兴,河北遵化
金之钧,山东胶南
刘维民,山东莱西
何满潮,河南灵宝
彭平安, 有机地球化学家，长期从事地质体有机质地球化学研究。1960年11月15日出生。1982年毕业于浙江大学，1991年在中国科学院地球化学研究所获博士学位。2013年当选为中国科学院院士。
张旭,江苏宜兴
张锁江,河南林州
闫楚良,内蒙通辽
郝芳,内蒙古自治赤峰敖汉旗
汤涛,安徽舒城
徐红星,江苏灌云
谢在库,辽宁普兰店
顾东风,江苏启东
孙和平,江苏无锡江阴
丁赤飚,江苏如东
谈哲敏,江苏宜兴
宋保亮,河南林州
郑婉华,吉林吉林
郭旭升,山东茌平
姚斌,广西北海
张立群,内蒙古自治多伦
胡晓棉,陕西高陵
杨长风,湖南益阳南
刘加平,江苏南通海安
许为钢,四川重庆
吴义强,河南固始
王树新,河北张家口宣化
傅正义,湖北随州
马玉山,内蒙古鄂尔多斯
谢玉洪,河北沧州
徐卫林,湖北罗田
