0,1
戚元靖,    戚元靖（1929.04.29-1994.11.04）钢铁冶金、建筑工程专家。1929年4月29日出生，1994年11月4日去世。湖北省武汉人。1956年毕业于列宁格勒建筑工程学院。曾任北京钢铁设计院院长，冶金工业部部长。长期从事冶金工业工程设计和工程管理工作。在设计院工作的26年中，直接参与和主持了一批重点钢铁企业的规划方案、厂址选择、设备造型、工程建设和技术改造。对宝钢建设，鞍钢改造，马钢、武钢、唐钢扩建提出了许多重要的建议，解决了许多现场施工中的工程问题，同时还直接组织参加者了一批钢铁企业的规划、设计和建设，在工程中处理了大量疑难问题。为钢铁工业的发展做出了贡献。1994年当选为中国工程院院士。
楼之岑,    楼之岑（1920.1.28-1995.3.23）生药学专家。浙江省安吉县人。1950年获英国伦敦大学药学院博士学位。是我国生药形态组织学研究的开拓者和植物药泻下作用生物测定法的开拓者，提出湿粪计数的定量式生物测定法，并创造性设计了试验装置，提高了准确性和可重复性，国际上称为楼氏法。应用现代高效技术分离与测定药材中多种有效成分的含量，提高药材鉴定的可靠性。发表论文150余篇，专著18本。先后获国家科技进步一等奖、国家医药管理局科技进步一等奖国家中医药管理局科技进步一等奖等共七项。1994年当选为中国工程院院士。
江绍基,    江绍基（1919.4.12-1995.5.16）内科消化学专家。江苏无锡人。1945年毕业于上海圣约翰大学医学院获博士学位。曾任上海消化疾病研究所所长、教授。兼任全国消化病学会副主任委员。长期从事血吸虫病防治工作及消化系疾病的研究，提出并证实血吸虫病侏儒症经治疗可生长发育，主编我国最早的血吸虫病专著《血吸虫与血吸虫病》；研究慢性胃炎发病特点、机制及分型，率先研究胃炎和消化性溃疡与HP的关系，首先建立狼犬胃癌模型，发现叶酸有抗ENNG的致癌作用。创办《中华消化杂志》、《国外医学消化系疾病分册》，主编我国首部《临床肝胆病学》和《临床胃肠病学》。并担任国内外许多著名杂志的编委。1994年当选为中国工程院院士。
章基嘉,    章基嘉（1930.1.1-1995.10.5）大气科学专家。安徽省绩溪人。长期从事大气环流和长期天气预报业务、教学和科研工作，是我国在这一领域的学术带头人。在国内率先将正函数方法引入大气环流和长期天气预报研究，客观地划分自然天气季节，提出天气异常的客观预报方案。在长期天气过程的研究中，定性地揭露各种物理因子对超长波移动及强度变化的影响，深化对超长波活动基本规律的认识，对北半球环流季节转化的物理成因研究有独到见解。在青藏高原热力动力作用研究中，首次给出大范围现象相互联系的图象。所著的《中长期天气预报基础》填补我国这方面专著的空白。1994年当选为中国工程院院士。
汪菊渊,    汪菊渊（1913.04.11-1996.01.28）花卉园艺、园林学专家。汉族，1913年4月生，安徽休宁县人。1934年毕业于南京金陵大学农学院，获学士学位。曾任北京大学教授、北京市园林局局长、总工程师、技术顾问等职。 1951年与清华大学吴良镛先生商议由两校联合设立造园组，为我国教育史上添了新的一页，并为国家培养了大批优秀的园林专家和领导人才。1962年参加并主持了城市园林绿化10年科研规划。1984年又参加了《中国技术政策》城市建设部分、城市绿化公园部分的撰写工作，并获得技术政策研究重要贡献奖。主持编纂了《中国大百科全书-建筑，园林，城市规划卷》的园林部分，对建立中国林学体系、总结传统的园林学、城市绿化和大地景物规划的进展作出了贡献。在任农林水利局、农林局和园林局局长期间，对北京农林建设，园林绿化建设事业作出了一定的贡献。对中国当代园林史作了广为深入的史科研究工作，进行了系统的分析，从形式到内容上为划分中国古代园林历史进展，写下了近百万字的作品。1995年当选为中国工程院院士。
顾懋祥,    顾懋祥（1923.01.25-1996.05.21）船舶性能研究和设计技术专家。江苏省太仓人。1945年上海雷士德工学院机械系毕业。1949年获美国密执安大学研究院造船与轮机系工程硕士学位。在我国率先开展现代新船型的研究，主持研制成功世界上第一艘气垫船及我国第一艘单水翼艇；最早用实验保证了国际上无舱盖集装箱船的诞生。他倡导并组织了我国海洋浮式系统、海上平台管节点的研究，最早把“人工神经网络”应用于船舶运动技术。为我国船舶工程发展作出了贡献。     1995年当选为中国工程院院士。
李光博,    李光博（1922.06.16-1996.07.20）昆虫学专家。天津市武清人。昆虫迁飞研究创始人之一。在粘虫研究方面，划分发生区划，明确各区主要危害世代及影响其种群动态的关键因素与防治适期；应用大规模成虫标记回收等实验方法，揭示了粘虫越冬迁飞规律，首次提出一月份0℃等温线（33℃）为粘虫在我国越冬地区北界；获得粘虫迁飞1400余公里的世界第一个实验数据，阐明粘虫迁飞为害路线与虫源性质。据此制定的粘虫“异地”测报方法，经长期应用，准确率达85%以上；研究组建的粘虫综防体系，经济、安全、有效地控制粘虫危害，每年约挽回粮食损失25~35亿公斤。为其他害虫迁飞规律研究提供思路与经验，推动学科发展。在黄淮海等麦区研究组建的小麦病虫害综防技术体系，显著提高小麦群体的整体抗逆机能，农药投入量减少30~50%，天敌数量成倍增加，病虫危害明显减轻，小麦产量逐年上升，获得显著效益。1995年当选为中国工程院院士。
林华,    林华（1913.06.24-1997.03.11）.石油化工专家。上海市人，原籍江苏省无锡市。1936年毕业于上海光华大学获理学士学位。曾任吉林化工公司、北京化工研究院、兰州化工公司高级工程师、国家计划委员会咨询组副组长。我国石油化工技术开拓者之一。在延安创建了玻璃、陶瓷、耐火材料工业，对军工作出很大贡献，获陕甘宁边区甲等劳动英雄称号；组织恢复和发展东北化学工业，制定了吉林化工发展规划；组建我国第一个石油化工生产基地兰化公司；组建金山、辽化、天津、长寿等石油化纤厂；组织参与攀枝花、金川、包头等三大共生矿的开发建设和综合利用，组织考察西北、西南水电资源。多次获得国家及省部级奖励，“顺丁橡胶、丁烯氧化脱氢制丁二烯”获1986年国家科技进步奖特等奖。发表学术论文数10篇，专著2本。1994年当选为中国工程院院士。
蒋新松,    蒋新松（1931.08.03-1997.03.30）机器人专家。江苏省江阴人。1956年毕业于上海交通大学。曾任中国科学院沈阳自动化所所长。我国机器人事业的开拓者之一、著名专家。70年代初率先从事人工智能与机器人学研究。1985年研制出HR—01水下机器人。1988年研制出我国第一台示教再现机器人。后通过引进创新研制出水深300米有缆水下机器人Recon—Ⅳ—SIA—300，实现国产化70％，已生产商品5台提供给用户，该成果获科学院科技进步奖一等奖和1992年国家科技进步奖二等奖。后又领导并参加了CR—01（6000米无缆）水下机器人的研制。创建了国家机器人技术研究开发工程中心和中国科学院机器人开放实验室。对CIMS技术有很深的造诣，连任三届国家“863”计划自动化领域专家委员会首席科学家，不断提出方向性战略性的新思想和新见解。在他的领导下，我国在CIMS领域，从一无所有到在国际上占有一席之地；我国特种机器人也从几乎空白发展到今天令人瞩目的水平，成绩斐然。著有《机器人学》等专著。1994年当选为中国工程院院士。
佘畯南,"    佘畯南（1916.10.06-1998.07.29）建筑学家。原籍广东省潮阳,出生于越南。1941年毕业于交通大学唐山工学院。努力探索、总结和发展我国南方的建筑风格，将我国传统的庭园空间组织与国外建筑注重使用功能的长处熔于一炉，在建筑风格和艺术上不断创新，形成既有中国南方特色又具现代色彩的建筑设计风格。设计的主要作品y有：60年代的广州友谊剧院、70年代的东方宾馆新楼、80年代的白天鹅宾馆及中国驻西德大使馆等，为我国建筑艺术的发展作出了重要的贡献。1989年被授予中国建筑设计大师称号。     1997当选为中国工程院院士。"
