0,1
曹喜滨,    航天器总体设计专家，主要从事小卫星设计理论、创新技术与工程应用研究。1963年2月出生于黑龙江省肇东市。1991年毕业于哈尔滨工业大学，获博士学位。     2019年当选中国工程院院士。
陈学东,    特种设备设计制造与运行维护工程科技专家，主要从事压力容器与管道安全科学与工程技术研究。1964年8月出生于安徽省铜陵市。2004年毕业于浙江大学，获工学博士学位。     2015年当选中国工程院院士。
邓宗全,    宇航空间机构学专家，主要从事宇航空间机构与特种机器人的设计理论与技术研究。1956年10月出生于黑龙江省双鸭山市。1984年毕业于哈尔滨工业大学，获硕士学位。     2017年当选中国工程院院士。
丁荣军,    交通与新能源装备领域专家，主要从事电力电子及控制技术研究。1961年11月出生于江苏省宜兴市。2008年毕业于中南大学，获工学博士学位。     2011年当选中国工程院院士。
樊会涛,    飞行器设计专家，主要从事航空武器装备研究，1962年10月出生于河南省汝阳县，2010年毕业于北京航空航天大学获博士学位。     2013年当选中国工程院院士。
冯煜芳,    导弹专家，主要从事武器装备发展论证与使用技术研究。1963年1月出生于浙江省余姚市。1987年国防科技大学本科毕业，2008年获航天科技集团一院博士学位。     2017年当选中国工程院院士。
付梦印,    导航制导与控制专家，主要从事陆上运动平台导航、制导与控制理论研究、技术攻关和工程应用工作。1964年11月出生于内蒙古自治区鄂尔多斯市。1992年毕业于北京理工大学，获工学硕士学位。     2021年当选中国工程院院士。
甘晓华,    航空领域专家，主要从事航空发动机技术研究。1957年1月出生于江西省临川县（今属进贤县）。1989年毕业于北京航空航天大学，获工学博士学位。     2011年当选中国工程院院士。
郭东明,    机械制造领域专家，主要从事机械工程及其自动化研究。1959年4月出生于河南省温县。1992年毕业于大连理工大学（原大连工学院）机械制造及其自动化专业，获工学博士学位。     2011年当选中国工程院院士。
何琳,    舰船工程专家，主要从事潜艇隐身技术研究。1957年11月出生于陕西省西安市。1984年毕业于海军工程学院，获硕士学位。     2017年当选中国工程院院士。
侯晓,    固体火箭发动机专家，主要从事航空宇航推进理论与工程研究。1963年10月出生于陕西省岐山县。1990年毕业于西北工业大学，获固体火箭发动机及推进剂专业博士学位。     2015年当选中国工程院院士。
黄庆学,    冶金机械专家，主要从事冶金机械设计方法、技术开发及工程化研究。1960年12月出生于吉林省舒兰市。1999年毕业于燕山大学，获工学博士学位。     2017年当选中国工程院院士。
蒋庄德,    机械制造及自动化专家，主要从事微纳制造与智能传感技术、精密超精密加工与测试技术及装备等方面研究。1955年8月出生于辽宁省庄河市。2011年毕业于英国伯明翰大学，获机械工程专业工学博士学位。     2013年当选中国工程院院士。
金东寒,    动力机械工程专家，主要从事新型发动机及其动力系统研究。1961年1月出生于黑龙江省绥化市。1989年毕业于中国舰船研究院，获博士学位。     2009年当选中国工程院院士。
李骏,    汽车发动机专家，主要从事汽车智能与新能源技术研究。1958年3月出生于吉林省长春市。1989年毕业于吉林工业大学，获博士学位。     2013年当选中国工程院院士。
李克强,    汽车智能化专家，主要从事汽车智能驾驶系统动态设计与控制的理论和技术研究。1963年1月出生于四川省资阳市。1995年毕业于重庆大学，获博士学位。     2021年当选中国工程院院士。
李培根,    机械制造自动化领域专家，主要从事数字化制造、智能制造等方面的研究。1948年12月出生于湖北省武汉市。1987年毕业于美国威斯康辛-麦迪逊大学，获博士学位。     2003年当选中国工程院院士。
林忠钦,    机械工程专家，主要从事机械制造及自动化研究。1957年12月出生于上海市。1989年毕业于上海交通大学，获博士学位。     2011年当选中国工程院院士。
刘宏,    机器人技术专家，主要从事空间在轨服务研究。1966年12月出生于安徽省合肥市。1993年毕业于哈尔滨工业大学，获博士学位。     2021年当选中国工程院院士。
卢秉恒,    机械制造专家，主要从事增材制造、高端装备、生物制造、纳米制造研究。1945年2月出生于安徽省亳州市。1986年毕业于西安交通大学，获博士学位。     2005年当选中国工程院院士。
马伟明,    电气工程领域专家，主要从事舰船能源与动力、电磁能武器装备以及新能源技术方面的研究。1960年4月出生于江苏省扬中市。1996年毕业于清华大学，获工学博士学位。     2001年当选中国工程院院士。
马玉山,    工业控制阀专家，主要从事高端控制阀产品及智能制造技术研究。1968年12月出生于内蒙古省鄂尔多斯市。2009年毕业于西安理工大学，获博士学位。     2021年当选中国工程院院士。
邱志明,    武器系统与运用工程专家，主要从事舰载武器系统和舰艇作战系统研究。1961年12月生，山东临沂人，研究员，博士研究生毕业，获工学博士学位。     2015年当选中国工程院院士。
单忠德,    数字化机械装备与成形制造专家，主要从事数字化机械装备与先进成形制造技术、智能制造技术与装备研究。1970年1月出生于山东省高密市。2002年毕业于清华大学机械工程系，获工学博士学位。     2019年当选中国工程院院士。
邵新宇,    机械制造自动化领域专家，主要从事先进制造关键工艺与装备研究。1968年11月出生于江苏省靖江市。1998年毕业于华中理工大学（1995年-1998年在美国密西根大学进行博士联合培养），获博士学位。     2019年当选中国工程院院士。
孙聪,    飞行器设计领域专家，主要从事飞机航空电子、隐身技术和总体设计研究。1961年2月出生于辽宁省沈阳市。2006年毕业于北京航空航天大学，获博士学位。     2015年当选中国工程院院士。
